| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedmicro-rtos-mbed-mail                                               | tests-mbedmicro-rtos-mbed-mail                                               | 0      | 1      | ERROR  | 71.11              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedmicro-rtos-mbed-malloc                                             | tests-mbedmicro-rtos-mbed-malloc                                             | 0      | 1      | ERROR  | 70.26              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedmicro-rtos-mbed-mutex                                              | tests-mbedmicro-rtos-mbed-mutex                                              | 0      | 1      | ERROR  | 71.02              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedmicro-rtos-mbed-queue                                              | tests-mbedmicro-rtos-mbed-queue                                              | 0      | 1      | ERROR  | 71.16              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedmicro-rtos-mbed-semaphore                                          | tests-mbedmicro-rtos-mbed-semaphore                                          | 0      | 1      | ERROR  | 71.01              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedmicro-rtos-mbed-signals                                            | tests-mbedmicro-rtos-mbed-signals                                            | 0      | 1      | ERROR  | 71.05              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedmicro-rtos-mbed-threads                                            | tests-mbedmicro-rtos-mbed-threads                                            | 0      | 1      | ERROR  | 71.17              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedmicro-rtos-mbed-timer                                              | tests-mbedmicro-rtos-mbed-timer                                              | 0      | 1      | ERROR  | 70.13              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-mbedtls-selftest                                                       | tests-mbedtls-selftest                                                       | 0      | 1      | ERROR  | 72.51              |
| DISCO_L072CZ_LRWAN1-GCC_ARM | DISCO_L072CZ_LRWAN1 | tests-netsocket-ip_parsing                                                   | tests-netsocket-ip_parsing                                                   | 0      | 1      | ERROR  | 72.21              |
+-----------------------------+---------------------+------------------------------------------------------------------------------+------------------------------------------------------------------------------+--------+--------+--------+--------------------+
53 ERROR
